,app_name,rating,app_id,images
0,JEE Mains & JEE Advance 2024,4.4,jee.iit.latest,https://play-lh.googleusercontent.com/2wrbqcsMP-kVkNJvBIN-RhFPrUfLH5S0DS79FTH0OASGDT0GCGQMZMhL7NmM5tv92xQ=w240-h480
1,JEE Mains PYQ Questions,4.6,com.examgoal.jeemainpreparation.app,https://play-lh.googleusercontent.com/GXjm0N5PDH6WaaJn4g0ywaoPJZ3bau8EInrDJicYnDzU6shRCEoJsyD47XdXZmMkWRk=w240-h480
2,MARKS: IIT JEE & NEET Prep App,4.7,com.scoremarks.marks,https://play-lh.googleusercontent.com/LSHIcrtwQ3yjfzm87Ng4q4u4XkGsaZuPBVOmLRnRRpm6ok2FLQ_ZWpYFfeGvOh7c_g=w240-h480
3,IIT JEE Mains & Advanced Prep,4.4,com.edurev.iit,https://play-lh.googleusercontent.com/dO8otBHIAgUfDDqgkcwwGU5Y_it1h7TPVDtZpGrcxGi0N3b5ksYwNERZeQaYhdb0Qhs=w240-h480
4,Rancho - The JEE App,4.7,in.boosters.rancho.premium,https://play-lh.googleusercontent.com/agcTdDaaIxsKIGX00Z61P7RnaonkttMCI2rrGlvj4iTZUjef0UwXsadcnKtzwgFWPzo=w240-h480
5,MathonGo - for IIT JEE | Board,4.4,com.learnacad.learnacad,https://play-lh.googleusercontent.com/hvHt5x4T05yvmGi1eDzRk9QGzaDtYXphh2VZAgf-PbVO4nffZFCToP-IukJLUkwZLPs=w240-h480
6,PHYSICS - JEE PAST YEAR PAPERS,4.5,com.rktech.jeemainphy,https://play-lh.googleusercontent.com/FCgbtRvIJIYMrq2Tmsvcm0bnGbDVLsLuJYqGjQwRc1KljpaJwY3SNlMjoMYYIZSiDQ=w240-h480
7,ExamGOAL: JEE Adv Questions,4.4,com.examgoal.jeeadvancedpreparation.app,https://play-lh.googleusercontent.com/P0UZlmL8RYXl_ggxdJcxsOjMFwjQ6JGzDxvVC6gOwZ_9nn-3PbbwL8HXGg5htJxTPDyG=w240-h480
8,JEE One,4.7,com.jee.one,https://play-lh.googleusercontent.com/f_lO_97M_qQlOxB2IDxhO6cp1WeXlx52w-ZwfuIpvPUA6m9jP-1dbekqr8HlOxgI_VU=w240-h480
9,ATP STAR IIT JEE & NEET Prep,4.6,com.app.atpstar,https://play-lh.googleusercontent.com/l9Mfc5pa3apNcZ1CHn5pDbxM8huDtygixkSpZzAw1r6iqzSvJIyBezrpw8aDqd2hQg=w240-h480
10,CHEMISTRY: JEE PAST YEAR PAPER,4.4,com.rktech.jeemainchemistry,https://play-lh.googleusercontent.com/LmCnTS-c_cW9D4N3rQrsU5eB28jK9UvP5ie_7bw3RZugyc6yPEztbMK8aDrw-X3Vvw=w240-h480
11,JEE & NEET Prep - English Only,4.5,com.vedantu.testprep,0
12,JEE Mains By Chapters,4.9,com.examsnet.jeemainschapterwise,https://play-lh.googleusercontent.com/167vqzKf8iw-yvsa-yG7KeuPJg_Zesy1Q6m4qtS3rKOGpy8RDhjJgXuJlKRyZPFkAU0=w240-h480
13,Physics Sir JEE,4.9,com.physicssir.jee,https://play-lh.googleusercontent.com/0jg3LBmyjQyrWxIfL94YhCOoeNyhEc6M5LrQQ_kEyQbAobsQZTPlzWP8FK5bHH-cCA=w240-h480
14,Maths Notes for JEE and NEET,4.9,com.jeenotes.mathsnotes,https://play-lh.googleusercontent.com/Qi0f0sLXvyKp6V380bRicgZ1HH2baOPmWCUzSh7m8TITskQzuqznxiPoRPmFMgwKCvWz=w240-h480
15,Physics Notes for JEE and NEET,4.7,com.toralabs.phynotes,https://play-lh.googleusercontent.com/djnfYATsJiCXR4gs5ELTz0zfcgHOeYD4lXe3O0De-ygSgNXd-EsPXsBPVPGN8VMmkQc=w240-h480
16,Chemistry Notes for JEE & NEET,4.7,com.toralabs.chemnotes,https://play-lh.googleusercontent.com/CWPLQWwwmGNVwUfohzfJHW7w2mF6T0fUsJziuSmCbIZ2EW1vaiqepxopjsWU_30Tol8=w240-h480
17,Maths Notes for JEE Offline,4.5,com.toralabs.mathsnotes,https://play-lh.googleusercontent.com/kDXnSCalsH79XDRXIK8FYgU0DA8p4iPm-hsPQCwdLGyDynZ62TeONLB3kW8RfKkquxBf=w240-h480
